Entity Name,Entity Type,Country,District Number,Projects Supported,Current Leader Name,Current Leader Role,Current Leader Email,Leadership Term,Website / Source URL
Rotary District 4740,District,Brazil,4740,"[GG1867690] Water & Sanitation for Nuevo Progreso and Chocol, Santa Lucía Utatlán",Elton Roque Daltoé,Governador Distrital (2025–2026),distrito4740@rotary4740.org.br,2025–2026,https://rotary4740.org.br
Rotary District 6330,District,Canada,6330,"[GG2346063] Amigos de Santa Cruz 1 / Childhood education and basic business skills; [GG2459764] Amigos de Santa Cruz 2 / School tutoring Program; [GG2567164] Amigos de Santa Cruz 3 / Economic Dev; [GG2684482] Agroecological Vegetable Production in Santa Cruz La Laguna; [GG2684872] Protecting the Watershed of Lake Atitlan, Santa Lucia",Jeffrey Ferweda,District Governor (2025–2026),dg@rotary6330.org,2025–2026,https://rotary6330.org
Rotary District 7080,District,Canada,7080,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Susanne Zbinden,District Governor (2025–2026),dg@district7080.com,2025–2026,https://district7080.com
Rotary District 5050,District,United States,5050,"[GG1526673] X-ray & Fluoroscopy for Hospital Schafer, San Lucas Toliman (Phase 1); [GG1871794] X-ray Fluoroscopy, Hosp Schafer, San Lucas",Isabelle Hayer,District Governor (2025–2026),dg@rotary5050.org,2025–2026,https://rotary5050.org
Rotary District 5080,District,United States,5080,[GG1526219] Mayan Power and Light — Women's Solar Businesses,David Keyes,District Governor (2025–2026),dg@rotarydistrict5080.org,2025–2026,https://rotarydistrict5080.org
Rotary District 5110,District,United States,5110,"[GG1871794] X-ray Fluoroscopy, Hosp Schafer, San Lucas",Chris Waugh,District Governor (2025–2026),dg@rotarydistrict5110.com,2025–2026,https://rotarydistrict5110.com
Rotary District 5130,District,United States,5130,"[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas; [GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I",Kristine Redko,District Governor (2025–2026),dg@rotary5130.org,2025–2026,https://rotary5130.org
Rotary District 5150,District,United States,5150,"[GG1633934] Namaste Microloans — Women Entrepreneurs, Boca Costa",Mitone Griffiths,District Governor (2025–2026),dg@district5150.org,2025–2026,https://district5150.org
Rotary District 5190,District,United States,5190,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Larry Harvey,District Governor (2025–2026),dg@district5190.org,2025–2026,https://district5190.org
Rotary District 5230,District,United States,5230,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Susan Winey,District Governor (2025–2026),dg@rotary5230.org,2025–2026,https://rotary5230.org
Rotary District 5240,District,United States,5240,[Rostock_Patanatic] San Luis School Patanatic / Rostock Germany,Michael Dutra,District Governor (2025–2026),dg@district5240.org,2025–2026,https://district5240.org
Rotary District 5340,District,United States,5340,[GG2574529] Reforesting Santiago,Luis R. Carranza,District Governor (2025–2026),jeb@rotary5340.org,2025–2026,https://rotary5340.org
Rotary District 5440,District,United States,5440,"[GG1525485] Unlocking the Girl Effect — Mayan Women Scholarships; [GG2125241] El Potrero, WASH; [GG2570080] Hospitalito Atitlan - Mothers and Infants; [GG2684872] Protecting the Watershed of Lake Atitlan, Santa Lucia",Karen Morgan,District Governor (2025–2026),rotary5440@yahoo.com,2025–2026,https://rotary5440.org
Rotary District 5450,District,United States,5450,[GG1865581] Young Mayan Women as Engines of Economic Growth — Colegio Impacto,Cindy Rold,District Governor (2025–2026),office@rotary5450.org,2025–2026,https://district5450.org
Rotary District 5710,District,United States,5710,[GG2352598] Healthcare in Patantic & Sanika-ya,Chuck Udell,District Governor (2025–2026),Rotary5710exec@gmail.com,2025–2026,https://rotary5710.org
Rotary District 5950,District,United States,5950,[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas,Mark Shockey,District Governor (2025–2026),dg@rotary5950.org,2025–2026,https://rotary5950.org
Rotary District 6440,District,United States,6440,"[GG2125241] El Potrero, WASH",Marlene Frisbie,District Governor (2025–2026),gov.marlene@rotary6440.org,2025–2026,https://rotary6440.org
Rotary District 6690,District,United States,6690,[GG1410846] Mayan Families Guatemala Trade School,Sandy Knoesel,District Governor (2025–2026),dg@rotary6690.org,2025–2026,https://rotary6690.org
Rotary District 7620,District,United States,7620,"[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas; [GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I; [GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Mandy Warfield Granger,District Governor (2025–2026),office@rotary7620.org,2025–2026,https://rotary7620.org
Rotary District 7670,District,United States,7670,[GG1985748] David Lamont School in Tzanchaj,Paige Carroll Scott,District Governor (2025–2026),dg@rotary7670.org,2025–2026,https://rotary7670.org
Rotary District 7780,District,United States,7780,[GG2574529] Reforesting Santiago,Emma Bodwell,District Governor (2025–2026),ebodwell@icloud.com,2025–2026,https://district7780.org
Rotary District 7950,District,United States,7950,[GG1415576] Potable Water for Multiple Communities (Sawyer Filters),Nicole Brien,District Governor (2025–2026),dg@rotary7950.com,2025–2026,https://rotary7950.com
Belize,Club,Belize,4250,"[GG1985748] David Lamont School in Tzanchaj; [GG2013637] Area 4 COVID-19 Community Healthcare Response — Alameda County CA; [GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas; [GG2125241] El Potrero, WASH",Club President (c/o DG Diana Marie Brown Muñoz),Current Club President (2025–2026),distrito4250@gmail.com,2025–2026,https://rotary4250.org
Caçador-Sul Contestado,Club,Brazil,4740,[BarAlto] Bar Alto,Club President (c/o DG Elton Roque Daltoé),Current Club President (2025–2026),distrito4740@rotary4740.org.br,2025–2026,https://rotary4740.org.br
Chapecó-Centro,Club,Brazil,4740,"[GG1867690] Water & Sanitation for Nuevo Progreso and Chocol, Santa Lucía Utatlán",Club President (c/o DG Elton Roque Daltoé),Current Club President (2025–2026),distrito4740@rotary4740.org.br,2025–2026,https://rotary4740.org.br
Lajes,Club,Brazil,4740,"[GG1867690] Water & Sanitation for Nuevo Progreso and Chocol, Santa Lucía Utatlán",Club President (c/o DG Elton Roque Daltoé),Current Club President (2025–2026),distrito4740@rotary4740.org.br,2025–2026,https://rotary4740.org.br
Nelson,Club,Canada,5080,[GG1526219] Mayan Power and Light — Women's Solar Businesses,Club President,Current Club President (2025–2026),info@nelsonrotary.org,2025–2026,https://nelsonrotary.org
Calgary Heritage Park,Club,Canada,5360,"[GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I",Club President,Current Club President (2025–2026),info@rotarycalgaryheritagepark.org,2025–2026,https://rotarycalgaryheritagepark.org
Flint,Club,Canada,6330,[GG2346063] Amigos de Santa Cruz 1 / Childhood education and basic business skills,Club President (c/o DG Jeffrey Ferweda),Current Club President (2025–2026),dg@rotary6330.org,2025–2026,https://rotary6330.org
London,Club,Canada,6330,[GG2346063] Amigos de Santa Cruz 1 / Childhood education and basic business skills; [GG2459764] Amigos de Santa Cruz 2 / School tutoring Program; [GG2567164] Amigos de Santa Cruz 3 / Economic Dev,Club President (c/o DG Jeffrey Ferweda),Current Club President (2025–2026),dg@rotary6330.org,2025–2026,https://rotary6330.org
Meaford,Club,Canada,6330,"[GG2459764] Amigos de Santa Cruz 2 / School tutoring Program; [GG2684482] Agroecological Vegetable Production in Santa Cruz La Laguna; [GG2684872] Protecting the Watershed of Lake Atitlan, Santa Lucia",Club President (c/o DG Jeffrey Ferweda),Current Club President (2025–2026),dg@rotary6330.org,2025–2026,https://rotary6330.org
Stratford,Club,Canada,6330,[GG2567164] Amigos de Santa Cruz 3 / Economic Dev,Club President (c/o DG Jeffrey Ferweda),Current Club President (2025–2026),dg@rotary6330.org,2025–2026,https://rotary6330.org
Walkerton,Club,Canada,6330,[GG2346063] Amigos de Santa Cruz 1 / Childhood education and basic business skills,Club President (c/o DG Jeffrey Ferweda),Current Club President (2025–2026),dg@rotary6330.org,2025–2026,https://rotary6330.org
Watford,Club,Canada,6330,[GG2567164] Amigos de Santa Cruz 3 / Economic Dev,Club President,Current Club President (2025–2026),info@watfordrotary.org,2025–2026,https://watfordrotary.org
Wiarton,Club,Canada,6330,"[GG2346063] Amigos de Santa Cruz 1 / Childhood education and basic business skills; [GG2459764] Amigos de Santa Cruz 2 / School tutoring Program; [GG2684872] Protecting the Watershed of Lake Atitlan, Santa Lucia",Club President,Current Club President (2025–2026),info@wiartonrotary.org,2025–2026,https://wiartonrotary.org
Oakville,Club,Canada,7080,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Susanne Zbinden),Current Club President (2025–2026),dg@district7080.com,2025–2026,https://district7080.com
Yarmouth,Club,Canada,7815,[GG2574529] Reforesting Santiago,Current Club President,Current Club President (2025–2026),,2025–2026,
Guatemala Norte,Club,Guatemala,4250,"[GG1415576] Potable Water for Multiple Communities (Sawyer Filters); [GG1525485] Unlocking the Girl Effect — Mayan Women Scholarships; [GG1526219] Mayan Power and Light — Women's Solar Businesses; [GG1526673] X-ray & Fluoroscopy for Hospital Schafer, San Lucas Toliman (Phase 1); [GG1529575] SANIK-YA/ CHITULUL GUATEMALA WATER PROJECT",Club President (c/o DG Diana Marie Brown Muñoz),Current Club President (2025–2026),distrito4250@gmail.com,2025–2026,https://rotary4250.org
Guatemala Sur,Club,Guatemala,4250,[Rostock_Patanatic] San Luis School Patanatic / Rostock Germany,Club President (c/o DG Diana Marie Brown Muñoz),Current Club President (2025–2026),distrito4250@gmail.com,2025–2026,https://rotary4250.org
Hermosa,Club,Guatemala,4250,[GG2346063] Amigos de Santa Cruz 1 / Childhood education and basic business skills; [GG2352598] Healthcare in Patantic & Sanika-ya,Club President (c/o DG Diana Marie Brown Muñoz),Current Club President (2025–2026),distrito4250@gmail.com,2025–2026,https://rotary4250.org
Real de Minas–Tegucigalpa,Club,Honduras,,[GG1525485] Unlocking the Girl Effect — Mayan Women Scholarships,Current Club President,Current Club President (2025–2026),,2025–2026,
Tegucigalpa,Club,Honduras,4250,"[GG1865581] Young Mayan Women as Engines of Economic Growth — Colegio Impacto; [GG1870757] Maternal Health, Tecpan Chimaltenango",Club President (c/o DG Diana Marie Brown Muñoz),Current Club President (2025–2026),distrito4250@gmail.com,2025–2026,https://rotary4250.org
Usula,Club,Honduras,4250,"[GG2459764] Amigos de Santa Cruz 2 / School tutoring Program; [GG2567164] Amigos de Santa Cruz 3 / Economic Dev; [GG2570080] Hospitalito Atitlan - Mothers and Infants; [GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I; [GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II; [GG2684482] Agroecological Vegetable Production in Santa Cruz La Laguna; [GG2684872] Protecting the Watershed of Lake Atitlan, Santa Lucia",Club President (c/o DG Diana Marie Brown Muñoz),Current Club President (2025–2026),distrito4250@gmail.com,2025–2026,https://rotary4250.org
Greeley Centennial,Club,United States,,[GG1525485] Unlocking the Girl Effect — Mayan Women Scholarships,Current Club President,Current Club President (2025–2026),,2025–2026,
Loveland,Club,United States,,[GG1525485] Unlocking the Girl Effect — Mayan Women Scholarships,Current Club President,Current Club President (2025–2026),,2025–2026,
Ferndale,Club,United States,5050,"[GG1526673] X-ray & Fluoroscopy for Hospital Schafer, San Lucas Toliman (Phase 1); [GG1871794] X-ray Fluoroscopy, Hosp Schafer, San Lucas",Club President,Current Club President (2025–2026),info@ferndalerotary.org,2025–2026,https://ferndalerotary.org
Fidalgo Island,Club,United States,5050,"[GG1526673] X-ray & Fluoroscopy for Hospital Schafer, San Lucas Toliman (Phase 1)",Club President (c/o DG Isabelle Hayer),Current Club President (2025–2026),dg@rotary5050.org,2025–2026,https://rotary5050.org
Marysville,Club,United States,5050,"[GG1526673] X-ray & Fluoroscopy for Hospital Schafer, San Lucas Toliman (Phase 1)",Club President (c/o DG Isabelle Hayer),Current Club President (2025–2026),dg@rotary5050.org,2025–2026,https://rotary5050.org
Kimberley,Club,United States,5080,[GG1526219] Mayan Power and Light — Women's Solar Businesses,Club President (c/o DG David Keyes),Current Club President (2025–2026),dg@rotarydistrict5080.org,2025–2026,https://rotarydistrict5080.org
Eugene-Delta,Club,United States,5110,"[GG1871794] X-ray Fluoroscopy, Hosp Schafer, San Lucas",Club President (c/o DG Chris Waugh),Current Club President (2025–2026),dg@rotarydistrict5110.com,2025–2026,https://rotarydistrict5110.com
Greater Bend,Club,United States,5110,"[GG1871794] X-ray Fluoroscopy, Hosp Schafer, San Lucas",Club President (c/o DG Chris Waugh),Current Club President (2025–2026),dg@rotarydistrict5110.com,2025–2026,https://rotarydistrict5110.com
Medford,Club,United States,5110,"[GG1871794] X-ray Fluoroscopy, Hosp Schafer, San Lucas",Club President (c/o DG Chris Waugh),Current Club President (2025–2026),dg@rotarydistrict5110.com,2025–2026,https://rotarydistrict5110.com
Glen Ellen-Kenwood,Club,United States,5130,[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas,Club President (c/o DG Kristine Redko),Current Club President (2025–2026),dg@rotary5130.org,2025–2026,https://rotary5130.org
Lakeport,Club,United States,5130,"[GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I",Club President (c/o DG Kristine Redko),Current Club President (2025–2026),dg@rotary5130.org,2025–2026,https://rotary5130.org
Petaluma,Club,United States,5130,"[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas; [GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I",Club President (c/o DG Kristine Redko),Current Club President (2025–2026),dg@rotary5130.org,2025–2026,https://rotary5130.org
Petaluma Valley,Club,United States,5130,"[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas; [GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I; [GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President (c/o DG Kristine Redko),Current Club President (2025–2026),dg@rotary5130.org,2025–2026,https://rotary5130.org
Mill Valley,Club,United States,5150,"[GG1633934] Namaste Microloans — Women Entrepreneurs, Boca Costa",Club President (c/o DG Mitone Griffiths),Current Club President (2025–2026),dg@district5150.org,2025–2026,https://district5150.org
Pacifica,Club,United States,5150,"[GG1633934] Namaste Microloans — Women Entrepreneurs, Boca Costa",Club President,Current Club President (2025–2026),info@pacificarotary.org,2025–2026,https://pacificarotary.org
San Francisco,Club,United States,5150,"[GG1633934] Namaste Microloans — Women Entrepreneurs, Boca Costa",Club President (c/o DG Mitone Griffiths),Current Club President (2025–2026),dg@district5150.org,2025–2026,https://district5150.org
San Francisco Chinatown,Club,United States,5150,[DG_2016_SanFranRotaryChinatown] Sunspring Installation San Lucas Toliman; [DG_2020_SanFranChinaTown] Wallspring installation Novillero,Club President (c/o DG Mitone Griffiths),Current Club President (2025–2026),dg@district5150.org,2025–2026,https://district5150.org
San Mateo County,Club,United States,5150,"[GG1633934] Namaste Microloans — Women Entrepreneurs, Boca Costa",Club President (c/o DG Mitone Griffiths),Current Club President (2025–2026),dg@district5150.org,2025–2026,https://district5150.org
San Rafael Marin Evening,Club,United States,5150,"[GG1633934] Namaste Microloans — Women Entrepreneurs, Boca Costa",Club President (c/o DG Mitone Griffiths),Current Club President (2025–2026),dg@district5150.org,2025–2026,https://district5150.org
Cupertino,Club,United States,5170,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Dr. Geeta Kadambi),Current Club President (2025–2026),admin@rotarydistrict5170.org,2025–2026,https://rotarydistrict5170.org
Gilroy,Club,United States,5170,[GG1529575] SANIK-YA/ CHITULUL GUATEMALA WATER PROJECT,Club President (c/o DG Dr. Geeta Kadambi),Current Club President (2025–2026),admin@rotarydistrict5170.org,2025–2026,https://rotarydistrict5170.org
Livermore Valley,Club,United States,5170,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Dr. Geeta Kadambi),Current Club President (2025–2026),admin@rotarydistrict5170.org,2025–2026,https://rotarydistrict5170.org
Oakland,Club,United States,5170,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Dr. Geeta Kadambi),Current Club President (2025–2026),admin@rotarydistrict5170.org,2025–2026,https://rotarydistrict5170.org
Passport,Club,United States,5170,[GG2013637] Area 4 COVID-19 Community Healthcare Response — Alameda County CA,Club President (c/o DG Dr. Geeta Kadambi),Current Club President (2025–2026),admin@rotarydistrict5170.org,2025–2026,https://rotarydistrict5170.org
Santa Cruz,Club,United States,5170,[DG_2020_SantaCruz] Sunspring installation Santa Lucia Utatlan; [GG1529575] SANIK-YA/ CHITULUL GUATEMALA WATER PROJECT; [GG2013637] Area 4 COVID-19 Community Healthcare Response — Alameda County CA,Club President,Current Club President (2025–2026),info@santacruzrotary.org,2025–2026,https://santacruzrotary.org
Silicon Valley Passport,Club,United States,5170,[GG2013637] Area 4 COVID-19 Community Healthcare Response — Alameda County CA,Club President (c/o DG Dr. Geeta Kadambi),Current Club President (2025–2026),admin@rotarydistrict5170.org,2025–2026,https://rotarydistrict5170.org
Valley,Club,United States,5170,[GG1529575] SANIK-YA/ CHITULUL GUATEMALA WATER PROJECT,Club President (c/o DG Dr. Geeta Kadambi),Current Club President (2025–2026),admin@rotarydistrict5170.org,2025–2026,https://rotarydistrict5170.org
Watsonville,Club,United States,5170,"[DG_2016_WatsonVille] Sunspring installation G Shafer Clinic, SLT; [GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas",Club President (c/o DG Dr. Geeta Kadambi),Current Club President (2025–2026),admin@rotarydistrict5170.org,2025–2026,https://rotarydistrict5170.org
Nevada City,Club,United States,5190,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Larry Harvey),Current Club President (2025–2026),dg@district5190.org,2025–2026,https://district5190.org
Reno Central,Club,United States,5190,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Larry Harvey),Current Club President (2025–2026),dg@district5190.org,2025–2026,https://district5190.org
Tahoe-Incline,Club,United States,5190,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Larry Harvey),Current Club President (2025–2026),dg@district5190.org,2025–2026,https://district5190.org
Truckee,Club,United States,5190,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President,Current Club President (2025–2026),info@truckeerotary.org,2025–2026,https://truckeerotary.org
Truckee Sunrise,Club,United States,5190,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Larry Harvey),Current Club President (2025–2026),dg@district5190.org,2025–2026,https://district5190.org
Corral de Tierra,Club,United States,5230,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President,Current Club President (2025–2026),info@corraldetierrarotary.org,2025–2026,https://corraldetierrarotary.org
E-Club of San Diego,Club,United States,5340,[GG2574529] Reforesting Santiago,Club President (c/o DG Luis R. Carranza),Current Club President (2025–2026),jeb@rotary5340.org,2025–2026,https://rotary5340.org
Rancho Santa Fe,Club,United States,5340,[GG2574529] Reforesting Santiago,Club President (c/o DG Luis R. Carranza),Current Club President (2025–2026),jeb@rotary5340.org,2025–2026,https://rotary5340.org
Fort Collins,Club,United States,5440,"[GG2125241] El Potrero, WASH; [GG2684872] Protecting the Watershed of Lake Atitlan, Santa Lucia",Club President,Current Club President (2025–2026),rotary@rotarycluboffortcollins.org,2025–2026,https://rotarycluboffortcollins.org
Fort Collins Breakfast,Club,United States,5440,"[GG2125241] El Potrero, WASH",Club President (c/o DG Karen Morgan),Current Club President (2025–2026),rotary5440@yahoo.com,2025–2026,https://rotary5440.org
Fort Collins-Breakfast,Club,United States,5440,[GG2570080] Hospitalito Atitlan - Mothers and Infants,Club President (c/o DG Karen Morgan),Current Club President (2025–2026),rotary5440@yahoo.com,2025–2026,https://rotary5440.org
Greeley (Centennial),Club,United States,5440,[GG1525485] Unlocking the Girl Effect — Mayan Women Scholarships,Club President,Current Club President (2025–2026),info@greeleyrotary.org,2025–2026,https://greeleyrotary.org
Parker,Club,United States,5450,[GG1865581] Young Mayan Women as Engines of Economic Growth — Colegio Impacto,Club President (c/o DG Cindy Rold),Current Club President (2025–2026),office@rotary5450.org,2025–2026,https://district5450.org
Shawnee,Club,United States,5710,[GG2352598] Healthcare in Patantic & Sanika-ya,Club President (c/o DG Chuck Udell),Current Club President (2025–2026),Rotary5710exec@gmail.com,2025–2026,https://rotary5710.org
Topeka,Club,United States,5710,[GG2352598] Healthcare in Patantic & Sanika-ya,Club President,Current Club President (2025–2026),info@topekasouthrotary.org,2025–2026,https://topekasouthrotary.org
Topeka South,Club,United States,5710,[GG2352598] Healthcare in Patantic & Sanika-ya,Club President (c/o DG Chuck Udell),Current Club President (2025–2026),Rotary5710exec@gmail.com,2025–2026,https://rotary5710.org
Burnsville,Club,United States,5950,[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas,Club President,Current Club President (2025–2026),info@burnsvillerotary.org,2025–2026,https://burnsvillerotary.org
Edina,Club,United States,5950,[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas,Club President (c/o DG Mark Shockey),Current Club President (2025–2026),dg@rotary5950.org,2025–2026,https://rotary5950.org
Anoka,Club,United States,5960,"[GG1867690] Water & Sanitation for Nuevo Progreso and Chocol, Santa Lucía Utatlán; [GG1870757] Maternal Health, Tecpan Chimaltenango; [GG1873788] Stoves in San Lucas",Club President (c/o DG Glenn R. Bowers),Current Club President (2025–2026),grbowers53@gmail.com,2025–2026,https://rotary5960.org
Greater Rochester,Club,United States,5960,[GG1873788] Stoves in San Lucas,Club President (c/o DG Glenn R. Bowers),Current Club President (2025–2026),grbowers53@gmail.com,2025–2026,https://rotary5960.org
Northfield,Club,United States,5960,"[GG1867690] Water & Sanitation for Nuevo Progreso and Chocol, Santa Lucía Utatlán; [GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas",Diane Melbye,Current Club President (2025–2026),info@northfieldrotary.org,2025–2026,https://northfieldrotary.org
Red Wing,Club,United States,5960,[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas,Club President (c/o DG Glenn R. Bowers),Current Club President (2025–2026),grbowers53@gmail.com,2025–2026,https://rotary5960.org
Rochester,Club,United States,5960,[GG1873788] Stoves in San Lucas,Club President,Current Club President (2025–2026),info@rochesterrotary.org,2025–2026,https://rochesterrotary.org
Rochester Risers,Club,United States,5960,"[GG1870757] Maternal Health, Tecpan Chimaltenango",Club President,Current Club President (2025–2026),info@rochesterrisersrotary.org,2025–2026,https://rochesterrisersrotary.org
Glenview-Sunrise,Club,United States,6440,"[GG2125241] El Potrero, WASH",Club President (c/o DG Marlene Frisbie),Current Club President (2025–2026),gov.marlene@rotary6440.org,2025–2026,https://rotary6440.org
Upper Arlington,Club,United States,6690,[GG1410846] Mayan Families Guatemala Trade School,Club President,Current Club President (2025–2026),info@upperarlingtonrotary.org,2025–2026,https://upperarlingtonrotary.org
Westerville Sunrise,Club,United States,6690,[GG1410846] Mayan Families Guatemala Trade School,Club President,Current Club President (2025–2026),info@westervillerotary.org,2025–2026,https://westervillerotary.org
Whitehall-Bexley,Club,United States,6690,[GG1410846] Mayan Families Guatemala Trade School,Club President,Current Club President (2025–2026),info@whitehallbexleyrotary.org,2025–2026,https://whitehallbexleyrotary.org
Evergreen,Club,United States,6880,[GG1865581] Young Mayan Women as Engines of Economic Growth — Colegio Impacto,Club President,Current Club President (2025–2026),info@evergreenrotary.org,2025–2026,https://evergreenrotary.org
Annapolis,Club,United States,7620,"[GG2091778] Water & Sanitation in Santa Lucia Utatlan and San Andreas; [GG2570516] Water, Sanitation, Hygiene for Vista Hermosa, Phase I; [GG2578692] Water, Sanitation, Hygiene for Vista Hermosa, Phase II",Club President,Current Club President (2025–2026),info@annapolisrotary.org,2025–2026,https://annapolisrotary.org
